ADS1115 CONFIG: 0x8488
XU4 Microsecond: 4102132, ADC Sample: 672
XU4 Microsecond: 4109965, ADC Sample: 897
XU4 Microsecond: 4117870, ADC Sample: 744
XU4 Microsecond: 4125693, ADC Sample: 1035
XU4 Microsecond: 4133559, ADC Sample: 721
XU4 Microsecond: 4141412, ADC Sample: 1112
XU4 Microsecond: 4149268, ADC Sample: 707
XU4 Microsecond: 4157142, ADC Sample: 1195
XU4 Microsecond: 4164976, ADC Sample: 852
XU4 Microsecond: 4172890, ADC Sample: 1278
XU4 Microsecond: 4180695, ADC Sample: 927
XU4 Microsecond: 4188607, ADC Sample: 1078
XU4 Microsecond: 4196421, ADC Sample: 893
XU4 Microsecond: 4204358, ADC Sample: 966
XU4 Microsecond: 4212137, ADC Sample: 861
XU4 Microsecond: 4220000, ADC Sample: 763
XU4 Microsecond: 4227857, ADC Sample: 855
XU4 Microsecond: 4235714, ADC Sample: 664
XU4 Microsecond: 4243563, ADC Sample: 838
XU4 Microsecond: 4251419, ADC Sample: 631
XU4 Microsecond: 4259276, ADC Sample: 804
XU4 Microsecond: 4267132, ADC Sample: 439
XU4 Microsecond: 4274994, ADC Sample: 703
XU4 Microsecond: 4282850, ADC Sample: 383
XU4 Microsecond: 4290702, ADC Sample: 651
XU4 Microsecond: 4298560, ADC Sample: 423
XU4 Microsecond: 4306415, ADC Sample: 555
XU4 Microsecond: 4314272, ADC Sample: 414
XU4 Microsecond: 4322130, ADC Sample: 454
XU4 Microsecond: 4329984, ADC Sample: 422
XU4 Microsecond: 4337861, ADC Sample: 403
XU4 Microsecond: 4345701, ADC Sample: 314
XU4 Microsecond: 4353551, ADC Sample: 204
XU4 Microsecond: 4361408, ADC Sample: 226
XU4 Microsecond: 4369264, ADC Sample: 217
XU4 Microsecond: 4377121, ADC Sample: 150
XU4 Microsecond: 4384989, ADC Sample: 211
